,communication_mb,communication_mb,communication_mb,communication_mb,final_loss,final_loss,final_loss,final_loss
method,fedit,ffa_lora,flexlora,flora,fedit,ffa_lora,flexlora,flora
experiment_type,,,,,,,,
IID,1289.0625,464.0625,1289.0625,1289.0625,1.2315931693712872,1.2795926943620046,1.218913659175237,1.218913659175237
NonIID-Label,1289.0625,464.0625,1289.0625,1289.0625,2.7500609995002976,2.931747569477886,2.709503386222911,2.709503386222911
NonIID-Qty,1289.0625,464.0625,1289.0625,1289.0625,1.2515782783261817,1.289114114674669,1.2322438173662256,1.2322438173662256
Rank,1503.90625,541.40625,,,1.2280950096845626,1.2786709223190944,,
Scaling,966.796875,,,966.796875,1.2038715269565583,,,1.181972774386406
