exp_name,method,dataset,setting,seed,backend,target_modules,broadcast_bytes_per_client,rounds_completed,final_avg_loss,total_communication_mb,total_upload_mb,total_download_mb,switch_round,run_path
exp_fedit_noniid_alpha05,fedit,tatsu-lab/alpaca,noniid_alpha0.5,123,cuda,"q_proj,v_proj",9011200,15,1.2576958119979011,2578.125,1289.0625,1289.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_fedit_noniid_alpha05/fedit/seed_123/run_23_of_24/neuro_part12_qvonly/20260727_095211
exp_fedit_noniid_alpha05,fedit,tatsu-lab/alpaca,noniid_alpha0.5,456,cuda,"q_proj,v_proj",9011200,15,1.2376795393785183,2578.125,1289.0625,1289.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_fedit_noniid_alpha05/fedit/seed_456/run_24_of_24/neuro_part12_qvonly/20260727_101918
exp_ffa_lora_iid,ffa_lora,tatsu-lab/alpaca,iid,42,cuda,"q_proj,v_proj",3244032,15,1.3039754022757213,983.125,519.0625,464.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_ffa_lora_iid/ffa_lora/seed_42/run_13_of_24/neuro_part12_qvonly/20260727_052118
exp_ffa_lora_iid,ffa_lora,tatsu-lab/alpaca,iid,123,cuda,"q_proj,v_proj",3244032,15,1.3017383666038513,983.125,519.0625,464.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_ffa_lora_iid/ffa_lora/seed_123/run_14_of_24/neuro_part12_qvonly/20260727_054832
exp_ffa_lora_iid,ffa_lora,tatsu-lab/alpaca,iid,456,cuda,"q_proj,v_proj",3244032,15,1.303627796490987,983.125,519.0625,464.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_ffa_lora_iid/ffa_lora/seed_456/run_15_of_24/neuro_part12_qvonly/20260727_061538
exp_ffa_lora_noniid_alpha05,ffa_lora,tatsu-lab/alpaca,noniid_alpha0.5,42,cuda,"q_proj,v_proj",3244032,15,1.315078477167663,983.125,519.0625,464.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_ffa_lora_noniid_alpha05/ffa_lora/seed_42/run_16_of_24/neuro_part12_qvonly/20260727_064248
exp_ffa_lora_noniid_alpha05,ffa_lora,tatsu-lab/alpaca,noniid_alpha0.5,123,cuda,"q_proj,v_proj",3244032,15,1.2956036092321064,983.125,519.0625,464.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_ffa_lora_noniid_alpha05/ffa_lora/seed_123/run_17_of_24/neuro_part12_qvonly/20260727_070935
exp_ffa_lora_noniid_alpha05,ffa_lora,tatsu-lab/alpaca,noniid_alpha0.5,456,cuda,"q_proj,v_proj",3244032,15,1.2784549490198116,983.125,519.0625,464.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_ffa_lora_noniid_alpha05/ffa_lora/seed_456/run_18_of_24/neuro_part12_qvonly/20260727_073628
exp_flora_iid,flora,tatsu-lab/alpaca,iid,42,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.2614079749584197,2578.125,1289.0625,1289.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_flora_iid/flora/seed_42/phase1_cuda_rerun/20260715_021226
exp_flora_iid,flora,tatsu-lab/alpaca,iid,123,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.2604785989920297,2578.125,1289.0625,1289.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_flora_iid/flora/seed_123/phase1_cuda_rerun/20260715_035242
exp_flora_iid,flora,tatsu-lab/alpaca,iid,456,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.260500192562739,2578.125,1289.0625,1289.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_flora_iid/flora/seed_456/phase1_cuda_rerun/20260715_052914
exp_flora_noniid_alpha05,flora,tatsu-lab/alpaca,noniid_alpha0.5,42,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.2840850246917586,2578.125,1289.0625,1289.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_flora_noniid_alpha05/flora/seed_42/phase1_cuda_rerun/20260715_070023
exp_flora_noniid_alpha05,flora,tatsu-lab/alpaca,noniid_alpha0.5,123,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.2608345833704706,2578.125,1289.0625,1289.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_flora_noniid_alpha05/flora/seed_123/phase1_cuda_rerun/20260715_083036
exp_flora_noniid_alpha05,flora,tatsu-lab/alpaca,noniid_alpha0.5,456,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.2338129157554323,2578.125,1289.0625,1289.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_flora_noniid_alpha05/flora/seed_456/phase1_cuda_rerun/20260715_100237
exp_reverse_adaptive_iid,reverse_adaptive,tatsu-lab/alpaca,iid,42,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.27551357960701,1533.125,794.0625,739.0625,6,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_112811
exp_reverse_adaptive_iid,reverse_adaptive,tatsu-lab/alpaca,iid,123,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.2746100099086761,1533.125,794.0625,739.0625,6,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_123/phase1_cuda_rerun/20260715_121855
exp_reverse_adaptive_iid,reverse_adaptive,tatsu-lab/alpaca,iid,456,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.274481286128362,1533.125,794.0625,739.0625,6,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_456/phase1_cuda_rerun/20260715_130847
exp_reverse_adaptive_noniid_alpha05,reverse_adaptive,tatsu-lab/alpaca,noniid_alpha0.5,42,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.29538893247476,1533.125,794.0625,739.0625,6,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_010658
exp_reverse_adaptive_noniid_alpha05,reverse_adaptive,tatsu-lab/alpaca,noniid_alpha0.5,123,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.2715077817926104,1533.125,794.0625,739.0625,6,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_123/phase1_cuda_rerun/20260715_200920
exp_reverse_adaptive_noniid_alpha05,reverse_adaptive,tatsu-lab/alpaca,noniid_alpha0.5,456,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.2460482394580654,1533.125,794.0625,739.0625,6,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_456/phase1_cuda_rerun/20260715_205528
exp_two_phase_k8,two_phase,tatsu-lab/alpaca,iid,42,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.27127587890625,1863.125,959.0625,904.0625,K=8 (configured boundary),/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_two_phase_k8/two_phase/seed_42/phase1_cuda_rerun/20260715_214155
exp_two_phase_k8,two_phase,tatsu-lab/alpaca,iid,123,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.2701296757857006,1863.125,959.0625,904.0625,K=8 (configured boundary),/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_two_phase_k8/two_phase/seed_123/phase1_cuda_rerun/20260715_223931
exp_two_phase_k8,two_phase,tatsu-lab/alpaca,iid,456,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.270236603418986,1863.125,959.0625,904.0625,K=8 (configured boundary),/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_two_phase_k8/two_phase/seed_456/phase1_cuda_rerun/20260715_233604
exp_two_phase_k8_noniid_alpha05,two_phase,tatsu-lab/alpaca,noniid_alpha0.5,42,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.2932226067417367,1863.125,959.0625,904.0625,K=8 (configured boundary),/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_two_phase_k8_noniid_alpha05/two_phase/seed_42/phase1_cuda_rerun/20260716_003148
exp_two_phase_k8_noniid_alpha05,two_phase,tatsu-lab/alpaca,noniid_alpha0.5,123,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.2695667024093371,1863.125,959.0625,904.0625,K=8 (configured boundary),/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_two_phase_k8_noniid_alpha05/two_phase/seed_123/phase1_cuda_rerun/20260716_013206
exp_two_phase_k8_noniid_alpha05,two_phase,tatsu-lab/alpaca,noniid_alpha0.5,456,cuda,"q_proj,k_proj,v_proj,o_proj",9011200,15,1.2430931924836344,1863.125,959.0625,904.0625,K=8 (configured boundary),/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_two_phase_k8_noniid_alpha05/two_phase/seed_456/phase1_cuda_rerun/20260716_023251
