exp_name,method,setting,scale,seed,tag,timestamp,final_loss,total_mb,upload_mb,download_mb,switch_round,mmlu_acc,arc_easy_acc,boolq_acc,hellaswag_acc
exp_reverse_adaptive_threshold_ablation,reverse_adaptive,iid,tinyllama_1b,42,stage2_threshold_extended_0.05,20260504_121930,1.2735571080048878,1533.125,794.0625,739.0625,6,,,,
exp_reverse_adaptive_threshold_ablation,reverse_adaptive,iid,tinyllama_1b,42,stage2_threshold_extended_0.10,20260504_152013,1.2735571080048878,1533.125,794.0625,739.0625,6,,,,
exp_reverse_adaptive_threshold_ablation,reverse_adaptive,iid,tinyllama_1b,42,stage2_threshold_extended_0.20,20260504_182053,1.2735571080048878,1533.125,794.0625,739.0625,6,,,,
exp_two_phase_k10,two_phase,iid,tinyllama_1b,123,,20260430_211034,1.267048047542572,2358.125,1069.0625,1289.0625,,,,,
exp_two_phase_k10,two_phase,iid,tinyllama_1b,123,run_05_of_18,20260428_092156,1.267048047542572,2578.125,1289.0625,1289.0625,,,,,
exp_two_phase_k10,two_phase,iid,tinyllama_1b,123,stage1_bidirectional,20260502_032419,1.267048047542572,2083.125,1069.0625,1014.0625,,,,,
exp_two_phase_k10,two_phase,iid,tinyllama_1b,42,,20260430_180215,1.2654538114865619,2358.125,1069.0625,1289.0625,,,,,
exp_two_phase_k10,two_phase,iid,tinyllama_1b,42,run_03_of_12,20260425_080244,1.2654538114865619,1289.0625,,,,,,,
exp_two_phase_k10,two_phase,iid,tinyllama_1b,42,run_04_of_18,20260428_061721,1.2654538114865619,2578.125,1289.0625,1289.0625,,,,,
exp_two_phase_k10,two_phase,iid,tinyllama_1b,42,stage1_bidirectional,20260502_001645,1.2654538114865619,2083.125,1069.0625,1014.0625,,,,,
exp_two_phase_k10,two_phase,iid,tinyllama_1b,456,,20260501_001731,1.266975752433141,2358.125,1069.0625,1289.0625,,,,,
exp_two_phase_k10,two_phase,iid,tinyllama_1b,456,run_06_of_18,20260428_122714,1.266975752433141,2578.125,1289.0625,1289.0625,,,,,
